time	real(VinPA[1])
2.40500000000000025E-7	-3.00102390935662777E-1
2.40999999999999925E-7	-3.05516641041073278E-1
2.41500000000000048E-7	-3.16610800321134267E-1
2.42000000000000037E-7	-3.33007114139883242E-1
2.42499999999999982E-7	-3.53486627998322378E-1
2.42999999999999972E-7	-3.76036210440477348E-1
2.43500000000000005E-7	-3.97987468345237128E-1
2.44000000000000039E-7	-4.16238147379321433E-1
2.44499999999999984E-7	-4.27519381650851660E-1
2.45000000000000062E-7	-4.28624738517958548E-1
2.45500000000000007E-7	-4.16968150523561398E-1
2.46000000000000041E-7	-3.90824802782343328E-1
2.46500000000000030E-7	-3.49525617285987167E-1
2.46999999999999975E-7	-2.93596044141434387E-1
2.47499999999999964E-7	-2.24787556789884890E-1
2.47999999999999998E-7	-1.45996656797154567E-1
2.48500000000000032E-7	-6.10778072332214261E-2
2.49000000000000066E-7	2.54324194605036524E-2
2.49499999999999922E-7	1.08642026957011684E-1
2.50000000000000044E-7	1.83571157785500239E-1
2.50500000000000078E-7	2.45798619444776278E-1
2.50999999999999979E-7	2.91620793416666624E-1
2.51500000000000012E-7	3.18325698350754527E-1
2.52000000000000046E-7	3.24361053775446972E-1
2.52499999999999991E-7	3.09404331152049483E-1
2.52999999999999936E-7	2.74335637494256535E-1
2.53500000000000059E-7	2.21124020572462987E-1
2.54000000000000004E-7	1.52645583411036045E-1
2.54499999999999993E-7	7.24509137514677093E-2
2.54999999999999982E-7	-1.55064541447885507E-2
2.55500000000000060E-7	-1.07053420312871772E-1
2.56000000000000005E-7	-1.98016540688672560E-1
2.56499999999999995E-7	-2.84424575704644944E-1
2.57000000000000073E-7	-3.62652547281788751E-1
2.57500000000000018E-7	-4.29525583257075461E-1
2.57999999999999963E-7	-4.82388678492783018E-1
2.58499999999999996E-7	-5.19152069789199189E-1
2.58999999999999986E-7	-5.38323072289612536E-1
2.59500000000000020E-7	-5.39022130391595766E-1
2.60000000000000009E-7	-5.20928308038951116E-1
2.60500000000000043E-7	-4.84539411687772503E-1
2.61000000000000076E-7	-4.31091257800348426E-1
2.61500000000000021E-7	-3.62573855992831806E-1
2.62000000000000011E-7	-2.81722100842554335E-1
2.62500000000000089E-7	-1.91968371942141847E-1
2.62999999999999989E-7	-9.73462719914155272E-2
2.63500000000000068E-7	-2.33899760112052224E-3
2.64000000000000012E-7	8.83279186243397341E-2
2.64499999999999957E-7	1.69942324229369279E-1
2.65000000000000036E-7	2.38128828434008577E-1
2.65500000000000069E-7	2.89041308685064990E-1
2.66000000000000014E-7	3.19762904943406356E-1
2.66500000000000004E-7	3.28517387696474383E-1
2.66999999999999948E-7	3.14846960490178507E-1
2.67500000000000027E-7	2.79699101629206037E-1
2.68000000000000016E-7	2.25408135523415343E-1
2.68500000000000005E-7	1.55567076427994255E-1
2.69000000000000083E-7	7.47961677111084100E-2
2.69500000000000028E-7	-1.15807154308084437E-2
2.70000000000000018E-7	-9.79900426715807882E-2
2.70499999999999963E-7	-1.78791239484697084E-1
2.70999999999999996E-7	-2.48842371155607234E-1
2.71500000000000030E-7	-3.03822443807190989E-1
