time	imag(VinPA[1])
3.28500000000000014E-7	-3.41477005737389483E-1
3.28999999999999959E-7	-3.32033504130555546E-1
3.29499999999999993E-7	-3.13919200597760728E-1
3.30000000000000027E-7	-2.86172666717150959E-1
3.30500000000000149E-7	-2.48143806884184182E-1
3.31000000000000050E-7	-1.99730636103128578E-1
3.31500000000000128E-7	-1.41541581037332787E-1
3.32000000000000028E-7	-7.50131615420138953E-2
3.32500000000000018E-7	-2.45953403355016365E-3
3.33000000000000007E-7	7.29643360157257082E-2
3.33499999999999996E-7	1.47395763588534434E-1
3.33999999999999986E-7	2.16493002350109975E-1
3.34500000000000020E-7	2.75764788929685301E-1
3.35000000000000009E-7	3.21051411326943859E-1
3.35500000000000043E-7	3.48636688332542066E-1
3.36000000000000076E-7	3.55745989835044440E-1
3.36500000000000066E-7	3.40902250803944984E-1
3.37000000000000011E-7	3.04174621929219580E-1
3.37500000000000000E-7	2.47303624975655456E-1
3.38000000000000034E-7	1.73679662497103626E-1
3.38500000000000023E-7	8.81657702889768302E-2
3.39000000000000057E-7	-3.22851879980728995E-3
3.39500000000000091E-7	-9.38050298929671378E-2
3.40000000000000080E-7	-1.76759335430246378E-1
3.40499999999999980E-7	-2.45646876524931512E-1
3.41000000000000103E-7	-2.95003240496948216E-1
3.41500000000000004E-7	-3.20839217928469322E-1
3.42000000000000082E-7	-3.21014895400418876E-1
3.42500000000000027E-7	-2.95452388761516138E-1
3.42999999999999972E-7	-2.46162048487604324E-1
3.43499999999999961E-7	-1.77075305081633561E-1
3.43999999999999950E-7	-9.36968512952323351E-2
3.44500000000000028E-7	-2.60748633412197961E-3
3.45000000000000018E-7	8.91863250539782726E-2
3.45499999999999963E-7	1.74732478987250683E-1
3.45999999999999996E-7	2.47926439411920096E-1
3.46500000000000030E-7	3.04003802108549781E-1
3.47000000000000020E-7	3.39951002098080091E-1
3.47500000000000053E-7	3.54740785579525486E-1
3.48000000000000043E-7	3.49370048647817688E-1
3.48500000000000032E-7	3.26697909073012571E-1
3.48999999999999977E-7	2.91102319637198104E-1
3.49500000000000011E-7	2.47986084698389764E-1
3.50000000000000044E-7	2.03102119737655995E-1
3.50500000000000034E-7	1.62215869250662537E-1
3.50999999999999979E-7	1.30295421049159033E-1
3.51500000000000057E-7	1.11063871202909104E-1
3.51999999999999957E-7	1.06635400395185731E-1
3.52500000000000036E-7	1.17322807999488998E-1
3.52999999999999980E-7	1.41633042927194452E-1
3.53500000000000014E-7	1.76447727867463433E-1
3.54000000000000004E-7	2.17366813912059520E-1
3.54500000000000037E-7	2.59183176598238774E-1
3.55000000000000027E-7	2.96485566567027092E-1
3.55499999999999972E-7	3.24052861602082221E-1
3.55999999999999961E-7	3.37490477625449925E-1
3.56500000000000039E-7	3.33649770613898422E-1
3.57000000000000117E-7	3.10935025970567036E-1
3.57500000000000018E-7	2.69452941299169524E-1
3.58000000000000052E-7	2.10993721100374687E-1
3.58500000000000041E-7	1.38850027594485859E-1
3.58999999999999986E-7	5.74959869029224535E-2
3.59500000000000064E-7	-2.78383538251994089E-2
3.60000000000000053E-7	-1.11635542776287222E-1
3.60500000000000043E-7	-1.88641783468612823E-1
3.61000000000000121E-7	-2.54269976962536282E-1
3.61499999999999932E-7	-3.04995937403619521E-1
3.62000000000000099E-7	-3.38623588185146307E-1
3.62500000000000000E-7	-3.54415969567776301E-1
3.63000000000000034E-7	-3.53085165004331847E-1
3.63499999999999979E-7	-3.36648303854566189E-1
3.64000000000000101E-7	-3.08169529339936021E-1
3.64500000000000046E-7	-2.71412136041276586E-1
3.64999999999999991E-7	-2.30407315872504714E-1
3.65499999999999980E-7	-1.89171214000768839E-1
3.66000000000000014E-7	-1.51283157182474071E-1
3.66500000000000048E-7	-1.19582074470922972E-1
3.67000000000000037E-7	-9.59517829620966722E-2
3.67500000000000071E-7	-8.12112325868034901E-2
3.67999999999999972E-7	-7.51149029255200329E-2
3.68500000000000005E-7	-7.64576627872755665E-2
3.68999999999999995E-7	-8.32685858180686367E-2
3.69500000000000028E-7	-9.30762413241111197E-2
3.70000000000000062E-7	-1.03247275192984955E-1
3.70500000000000052E-7	-1.11175417984077951E-1
3.70999999999999996E-7	-1.14616516289460035E-1
3.71500000000000075E-7	-1.11919774402852235E-1
3.72000000000000064E-7	-1.02189805966868397E-1
3.72500000000000053E-7	-8.53663126759635027E-2
3.73000000000000043E-7	-6.22166104912138085E-2
3.73500000000000032E-7	-3.42447594756045692E-2
3.74000000000000110E-7	-3.52892610173753463E-3
3.74500000000000055E-7	2.74948881665840528E-2
3.75000000000000000E-7	5.62630481008003613E-2
