time	imag(VoutPA[1])
2.64000000000000012E-7	1.02502134183693561E-1
2.64499999999999957E-7	5.73002882069288155E-2
2.65000000000000036E-7	1.85063685409451595E-2
2.65500000000000069E-7	-1.43843936892374624E-2
2.66000000000000014E-7	-4.19929225436939113E-2
2.66500000000000004E-7	-6.46832078905406593E-2
2.66999999999999948E-7	-8.24640320645989000E-2
2.67500000000000027E-7	-9.46373855150803323E-2
2.68000000000000016E-7	-9.87949024821096700E-2
2.68500000000000005E-7	-8.92320822222756149E-2
2.69000000000000083E-7	-5.84717982262717317E-2
2.69500000000000028E-7	-1.26700411610947050E-2
2.70000000000000018E-7	2.45480999609039152E-2
2.70499999999999963E-7	4.69523602851740840E-2
2.70999999999999996E-7	6.33660750605484768E-2
2.71500000000000030E-7	7.92041522114843843E-2
2.72000000000000064E-7	9.53027449578161701E-2
2.72500000000000009E-7	1.11274182496021745E-1
2.73000000000000043E-7	1.26634125488989668E-1
2.73499999999999943E-7	1.40550549761764620E-1
2.74000000000000021E-7	1.50935646494613529E-1
2.74500000000000011E-7	1.53174567655675853E-1
2.74999999999999956E-7	1.40568195853441957E-1
2.75499999999999989E-7	1.11520244893332410E-1
2.76000000000000023E-7	7.67767814269876681E-2
2.76500000000000012E-7	4.64673513322238296E-2
2.76999999999999957E-7	2.07434984870454997E-2
2.77500000000000036E-7	-3.25198182474087316E-3
2.78000000000000025E-7	-2.69597607397670691E-2
2.78499999999999970E-7	-5.06569624249368289E-2
2.79000000000000004E-7	-7.41534201980096519E-2
2.79500000000000037E-7	-9.70188547707976312E-2
2.80000000000000027E-7	-1.18661944980481526E-1
2.80500000000000016E-7	-1.38375420603395338E-1
2.81000000000000050E-7	-1.55346640863461660E-1
2.81500000000000039E-7	-1.68560675991906961E-1
2.82000000000000028E-7	-1.76802547201397764E-1
2.82500000000000018E-7	-1.78807823389123977E-1
2.83000000000000007E-7	-1.73465111896730284E-1
2.83499999999999996E-7	-1.59989703262479610E-1
2.83999999999999897E-7	-1.38106811793646567E-1
2.84500000000000020E-7	-1.08376409655088235E-1
2.85000000000000053E-7	-7.25967653323215334E-2
2.85500000000000087E-7	-3.39469503930951433E-2
2.85999999999999988E-7	3.78531286742452266E-3
2.86500000000000110E-7	3.74187515577570373E-2
2.86999999999999966E-7	6.51724170578216899E-2
2.87500000000000000E-7	8.65504978791539692E-2
2.88000000000000034E-7	1.01758784796614421E-1
2.88500000000000023E-7	1.11211660531733902E-1
2.89000000000000057E-7	1.15296407429584624E-1
2.89499999999999957E-7	1.14303467479752685E-1
2.89999999999999991E-7	1.08434998292714102E-1
2.90499999999999980E-7	9.78517702784323440E-2
2.91000000000000014E-7	8.27161128036524218E-2
2.91500000000000048E-7	6.33006188854631269E-2
2.91999999999999993E-7	4.01016639296105648E-2
2.92500000000000027E-7	1.39462847913666721E-2
2.93000000000000060E-7	-1.39585660870002259E-2
2.93499999999999961E-7	-4.21003255950771837E-2
2.94000000000000039E-7	-6.88769901252275396E-2
2.94499999999999984E-7	-9.28803130590463333E-2
2.95000000000000107E-7	-1.13122093766912890E-1
2.95500000000000007E-7	-1.29040741275435167E-1
2.96000000000000041E-7	-1.40428851504646013E-1
2.96499999999999986E-7	-1.47307366385478589E-1
2.97000000000000064E-7	-1.49819623671440372E-1
2.97500000000000053E-7	-1.48177731830364334E-1
2.97999999999999998E-7	-1.42660021009129645E-1
2.98499999999999988E-7	-1.33650325050003893E-1
2.98999999999999977E-7	-1.21713785258067286E-1
2.99500000000000055E-7	-1.07702339615295650E-1
3.00000000000000000E-7	-9.28719035524305170E-2
3.00499999999999989E-7	-7.87199584968829669E-2
3.01000000000000068E-7	-6.67836186179173641E-2
3.01500000000000057E-7	-5.83513678315450157E-2
3.02000000000000002E-7	-5.42516399321913312E-2
3.02500000000000036E-7	-5.47800022403289599E-2
3.02999999999999980E-7	-5.97337675491582232E-2
3.03500000000000014E-7	-6.84800304018119643E-2
3.04000000000000048E-7	-8.00193553989789486E-2
3.04500000000000037E-7	-9.30422165345988006E-2
3.05000000000000071E-7	-1.05956968314025923E-1
3.05500000000000060E-7	-1.17229615648895980E-1
3.06000000000000050E-7	-1.25515163526589957E-1
3.06499999999999995E-7	-1.29873625514826907E-1
3.06999999999999984E-7	-1.29925739613659763E-1
3.07500000000000062E-7	-1.25888858770171841E-1
3.08000000000000007E-7	-1.18471375046374594E-1
3.08500000000000085E-7	-1.08676045282223677E-1
3.08999999999999941E-7	-9.75907727080502951E-2
3.09499999999999975E-7	-8.62277084611019973E-2
3.10000000000000009E-7	-7.54293636889726393E-2
